Tweets,Username,Created_at,User location,Coordinates
Silence Vol. 1 #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/BpOQmuVCEflY JEoBbOOLupyKtyoxNzJ7Hjw3NI0/?utm_source=ig_twitter_share&igshid=zcj09hbs6b4x …,henrick@gm,10/22/2018 7:58,"London,UK",-
Thalassa θάλασσα Yo y Cadavez #creta #crete #falassarna #creteisland #falassarnabeach @Falassarna https://www. instagram.com/p/BpNK2lNFopn/ ?utm_source=ig_twitter_share&igshid=1a7h1md26awjy …,henrick@gm,10/21/2018 21:48,"London,UK",-
Up up in the sky! #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/BpM-TOdHzFG/ ?utm_source=ig_twitter_share&igshid=squrgcvrnwdu …,henrick@gm,10/21/2018 19:58,"London,UK",-
Chania,henrick@gm,10/21/2018 12:34,"London,UK",-
Maternity #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/BpL7LcalMmSy HD84_im_Cme3YOV9hZ9pI_pnU80/?utm_source=ig_twitter_share&igshid=197w7c6rzi733 …,henrick@gm,10/21/2018 10:12,"London,UK",-
Summer is still on! #crete #kreta #greece #creteisland #heraklion #beach #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BpKKSuoH9_L/ ?utm_source=ig_twitter_share&igshid=9l9gffngb0fw …,henrick@gm,10/20/2018 17:45,"London,UK",-
All in one.... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #lasithicrete … https://www. instagram.com/p/BpJZGaji-IAI Dz1chmyuPKH8f8LYLIVS7kVnN40/?utm_source=ig_twitter_share&igshid=2em7pyg6o0dd …,henrick@gm,10/20/2018 10:36,"London,UK",-
Delicious Dinner in my favourite Dress #radissonblu #bloggertravel #foodie #traveladdicted #deliciousfood #creteisland @Radisson Blu Beach Resort,henrick@gm,10/19/2018 21:02,"London,UK",-
The entrance #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete … https://www. instagram.com/p/BpGjE5xlq-FB SCHwweutC8BO81AX3X48S28MDs0/?utm_source=ig_twitter_share&igshid=u8sele5xto3d …,henrick@gm,10/19/2018 8:05,"London,UK",-
#SV9OE6YRG #CreteIsland #dx SV9/OE6YRG - Crete Island - Forums https:// dxnews.com/forum/forum/am ateur-radio-trips/4700-sv9-oe6yrg-crete-island … SV9/OE6YRG on 14260 now,henrick@gm,10/18/2018 18:54,"London,UK",-
#SV9OE6YRG #CreteIsland #dx SV9/OE6YRG - Crete Island - Forums https:// dxnews.com/forum/forum/am ateur-radio-trips/4700-sv9-oe6yrg-crete-island … SV9/OE6YRG on 14260 now,henrick@gm,10/18/2018 18:49,"London,UK",-
Mystical light #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete … https://www. instagram.com/p/BpD_QUmlI7ua x8SMt4hOOGS1cAHGPFm8dH84-k0/?utm_source=ig_twitter_share&igshid=11qdugsuo8vr3 …,henrick@gm,10/18/2018 8:14,"London,UK",-
Samaria #samariagorge #canyoning #myway #justgoshoot #creteisland #teo_foutzopoulos https://www. instagram.com/p/BpCGCzkHQpn/ ?utm_source=ig_twitter_share&igshid=9vdgjk1w8na5 …,henrick@gm,10/17/2018 15:43,"London,UK",-
Lost #rollei #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #amateurphotography … https://www. instagram.com/p/BpBdBicljExb WYxFFzt9HDG_yAnvi50QOwRGWQ0/?utm_source=ig_twitter_share&igshid=b7wgkxl51no6 …,henrick@gm,10/17/2018 8:36,"London,UK",-
Somewhere... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/Bo8Rl4qFnArm aYwgJNqePjEBGEALa3dHsW4rts0/?utm_source=ig_twitter_share&igshid=6w947cw83zyr …,henrick@gm,10/15/2018 8:20,"London,UK",-
Best view in town #crete #kreta #greece #creteisland #chania #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/Bo6JrTai1rr/ ?utm_source=ig_twitter_share&igshid=1o17cy0jzz2lu …,henrick@gm,10/14/2018 12:32,"London,UK",-
Όλοι πάμε στα Χανιά #crete #kreta #greece #creteisland #chania #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/Bo4m6dAic-3/ ?utm_source=ig_twitter_share&igshid=6h7jfp6jlesf …,henrick@gm,10/13/2018 22:09,"London,UK",-
Another random alley in Old Town Crete . . #crete #crete #creteisland #alley #streetshot #sightseeing #travel #trip #ig_travel #oldtown #greece #greece_is_awesome #autumn https:// ift.tt/2CIEUSH pic.twitter.com/cie0AKcVDT,henrick@gm,10/13/2018 19:11,"London,UK",-
Remembering...(panorama) #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete … https://www. instagram.com/p/Bo3I_k4FY7wt I_77acIZHr9Aqh7h9DA7CB-nEg0/?utm_source=ig_twitter_share&igshid=lkmumeb1avtz …,henrick@gm,10/13/2018 8:28,"London,UK",-
Door locked... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/Bo0jQd0FZH4x 8wZnQKxewIg-i4HeStsjkgRsmY0/?utm_source=ig_twitter_share&igshid=1tee1b8rcc1kp …,henrick@gm,10/12/2018 8:20,"London,UK",-
Miss you already... #crete #kreta #greece #creteisland #heraklion #beach #sea #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling … https://www. instagram.com/p/BozDsPhHlXU/ ?utm_source=ig_twitter_share&igshid=1l5qu6nrlw5us …,henrick@gm,10/11/2018 18:25,"London,UK",-
Caliente - ZIN77 Licensed Zumba Instructor Konstantinos Kakavelakis Chania,henrick@gm,10/11/2018 13:42,"London,UK",-
Criminal minds or innocent people? #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland … https://www. instagram.com/p/BoyABODFUps0 ggD_49N8vITU8rLLbVi2PJqOhU0/?utm_source=ig_twitter_share&igshid=1ryhq2us1g83x …,henrick@gm,10/11/2018 8:34,"London,UK",-
Still summer! #crete #kreta #greece #creteisland #heraklion #pantanassa #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler … https://www. instagram.com/p/BovxbAhHH_s/ ?utm_source=ig_twitter_share&igshid=1dgmwio6v6vk1 …,henrick@gm,10/10/2018 11:48,"London,UK",-
Snapshot.... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/BovY_-TlpvJi 8xAhcepoeM-Xb5zEqAPeHwMUkE0/?utm_source=ig_twitter_share&igshid=1rwxrnhjp4u3d …,henrick@gm,10/10/2018 8:14,"London,UK",-
A walk downtown #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling #traveler #tourism … https://www. instagram.com/p/BouGnfCHKmS/ ?utm_source=ig_twitter_share&igshid=12ixbklsyozdb …,henrick@gm,10/9/2018 20:15,"London,UK",-
P.R Lady... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion … https://www. instagram.com/p/Bos1FigF3KsU 2bofi0Mg0FJxrIDNmLsAeiORSA0/?utm_source=ig_twitter_share&igshid=zea18hz8cf12 …,henrick@gm,10/9/2018 8:22,"London,UK",-
My beach! #crete #kreta #greece #creteisland #heraklion #psaromoura #agiapelagia #visitgreece #greekislands #ig_greece #thisiscrete #reflection #water #tourist #tourism #travelling … https://www. instagram.com/p/BorRXfNnkZ9/ ?utm_source=ig_twitter_share&igshid=1av8a3jajebyr …,henrick@gm,10/8/2018 17:52,"London,UK",-
Reservation for 8.... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete … https://www. instagram.com/p/BoqOypWlB25b G5--2o64RoKAzCXtbkeTaXdRHc0/?utm_source=ig_twitter_share&igshid=pv1aawht0e1s …,henrick@gm,10/8/2018 8:09,"London,UK",-
I still wanna go back to #Crete Picture by the amazing karrie.photographie · · · #creteisland #greece #photography #photoshoot #modeling #goodtime #greendress #enjoyinglife #actress … https://www. instagram.com/p/Boo03b1HhwF/ ?utm_source=ig_twitter_share&igshid=1ua9wfn2hlp2y …,henrick@gm,10/7/2018 19:03,"London,UK",-
Elafonisi beach . . . . . . . . . #elafonisi #elafonisibeach #topbeaches #beachlovers #beachesoftheworld #crete #cretegreece #creteisland #greekislands #greece #visitgreece … https://www. instagram.com/p/BongIsaHxQx/ ?utm_source=ig_twitter_share&igshid=426drsrr4d5z …,henrick@gm,10/7/2018 6:43,"London,UK",-
